filename,instance,epoch,num_vehicles,num_customers,unique_customers,avg_customers_per_route,total_routes,estimated_distance
rl_epoch_lc101_epoch1.txt,lc101,1,7,63,63,9.0,7,700
rl_epoch_lc101_epoch10.txt,lc101,10,4,49,48,12.25,4,530
rl_epoch_lc101_epoch2.txt,lc101,2,6,60,60,10.0,6,660
rl_epoch_lc101_epoch3.txt,lc101,3,6,58,58,9.666666666666666,6,640
rl_epoch_lc101_epoch4.txt,lc101,4,6,56,56,9.333333333333334,6,620
rl_epoch_lc101_epoch5.txt,lc101,5,5,54,54,10.8,5,590
rl_epoch_lc101_epoch6.txt,lc101,6,4,53,53,13.25,4,570
rl_epoch_lc101_epoch7.txt,lc101,7,4,52,52,13.0,4,560
rl_epoch_lc101_epoch8.txt,lc101,8,4,51,51,12.75,4,550
rl_epoch_lc101_epoch9.txt,lc101,9,4,51,50,12.75,4,550
rl_epoch_lc102_epoch1.txt,lc102,1,10,74,73,7.4,10,840
rl_epoch_lc102_epoch10.txt,lc102,10,5,53,52,10.6,5,580
rl_epoch_lc102_epoch2.txt,lc102,2,8,69,68,8.625,8,770
rl_epoch_lc102_epoch3.txt,lc102,3,8,66,65,8.25,8,740
rl_epoch_lc102_epoch4.txt,lc102,4,7,63,62,9.0,7,700
rl_epoch_lc102_epoch5.txt,lc102,5,7,62,61,8.857142857142858,7,690
rl_epoch_lc102_epoch6.txt,lc102,6,5,61,60,12.2,5,660
rl_epoch_lc102_epoch7.txt,lc102,7,5,59,58,11.8,5,640
rl_epoch_lc102_epoch8.txt,lc102,8,5,56,55,11.2,5,610
rl_epoch_lc102_epoch9.txt,lc102,9,5,55,54,11.0,5,600
rl_epoch_lc103_epoch1.txt,lc103,1,12,88,88,7.333333333333333,12,1000
rl_epoch_lc103_epoch10.txt,lc103,10,8,60,59,7.5,8,680
rl_epoch_lc103_epoch2.txt,lc103,2,12,85,85,7.083333333333333,12,970
rl_epoch_lc103_epoch3.txt,lc103,3,9,80,80,8.88888888888889,9,890
rl_epoch_lc103_epoch4.txt,lc103,4,8,77,76,9.625,8,850
rl_epoch_lc103_epoch5.txt,lc103,5,8,71,70,8.875,8,790
rl_epoch_lc103_epoch6.txt,lc103,6,8,70,69,8.75,8,780
rl_epoch_lc103_epoch7.txt,lc103,7,8,66,65,8.25,8,740
rl_epoch_lc103_epoch8.txt,lc103,8,8,63,62,7.875,8,710
rl_epoch_lc103_epoch9.txt,lc103,9,8,62,61,7.75,8,700
rl_epoch_lc104_epoch1.txt,lc104,1,11,97,97,8.818181818181818,11,1080
rl_epoch_lc104_epoch10.txt,lc104,10,5,67,64,13.4,5,720
rl_epoch_lc104_epoch2.txt,lc104,2,11,94,94,8.545454545454545,11,1050
rl_epoch_lc104_epoch3.txt,lc104,3,11,91,90,8.272727272727273,11,1020
rl_epoch_lc104_epoch4.txt,lc104,4,11,87,86,7.909090909090909,11,980
rl_epoch_lc104_epoch5.txt,lc104,5,8,83,81,10.375,8,910
rl_epoch_lc104_epoch6.txt,lc104,6,7,80,78,11.428571428571429,7,870
rl_epoch_lc104_epoch7.txt,lc104,7,7,78,76,11.142857142857142,7,850
rl_epoch_lc104_epoch8.txt,lc104,8,6,74,71,12.333333333333334,6,800
rl_epoch_lc104_epoch9.txt,lc104,9,5,71,68,14.2,5,760
rl_epoch_lc105_epoch1.txt,lc105,1,7,66,66,9.428571428571429,7,730
rl_epoch_lc105_epoch10.txt,lc105,10,5,50,49,10.0,5,550
rl_epoch_lc105_epoch2.txt,lc105,2,5,64,64,12.8,5,690
rl_epoch_lc105_epoch3.txt,lc105,3,5,63,63,12.6,5,680
rl_epoch_lc105_epoch4.txt,lc105,4,5,60,60,12.0,5,650
rl_epoch_lc105_epoch5.txt,lc105,5,5,57,57,11.4,5,620
rl_epoch_lc105_epoch6.txt,lc105,6,5,56,56,11.2,5,610
rl_epoch_lc105_epoch7.txt,lc105,7,5,54,54,10.8,5,590
rl_epoch_lc105_epoch8.txt,lc105,8,5,53,52,10.6,5,580
rl_epoch_lc105_epoch9.txt,lc105,9,5,52,51,10.4,5,570
rl_epoch_lc106_epoch1.txt,lc106,1,9,69,69,7.666666666666667,9,780
rl_epoch_lc106_epoch10.txt,lc106,10,4,48,48,12.0,4,520
rl_epoch_lc106_epoch2.txt,lc106,2,6,67,67,11.166666666666666,6,730
rl_epoch_lc106_epoch3.txt,lc106,3,5,63,63,12.6,5,680
rl_epoch_lc106_epoch4.txt,lc106,4,5,60,60,12.0,5,650
rl_epoch_lc106_epoch5.txt,lc106,5,5,58,58,11.6,5,630
rl_epoch_lc106_epoch6.txt,lc106,6,5,56,56,11.2,5,610
rl_epoch_lc106_epoch7.txt,lc106,7,4,54,54,13.5,4,580
rl_epoch_lc106_epoch8.txt,lc106,8,4,52,52,13.0,4,560
rl_epoch_lc106_epoch9.txt,lc106,9,4,50,50,12.5,4,540
rl_epoch_lc107_epoch1.txt,lc107,1,9,72,72,8.0,9,810
rl_epoch_lc107_epoch10.txt,lc107,10,4,47,47,11.75,4,510
rl_epoch_lc107_epoch2.txt,lc107,2,6,69,69,11.5,6,750
rl_epoch_lc107_epoch3.txt,lc107,3,6,65,65,10.833333333333334,6,710
rl_epoch_lc107_epoch4.txt,lc107,4,6,62,62,10.333333333333334,6,680
rl_epoch_lc107_epoch5.txt,lc107,5,6,59,59,9.833333333333334,6,650
rl_epoch_lc107_epoch6.txt,lc107,6,6,57,57,9.5,6,630
rl_epoch_lc107_epoch7.txt,lc107,7,5,54,54,10.8,5,590
rl_epoch_lc107_epoch8.txt,lc107,8,4,51,51,12.75,4,550
rl_epoch_lc107_epoch9.txt,lc107,9,4,49,49,12.25,4,530
rl_epoch_lc108_epoch1.txt,lc108,1,10,79,79,7.9,10,890
rl_epoch_lc108_epoch10.txt,lc108,10,4,61,60,15.25,4,650
rl_epoch_lc108_epoch2.txt,lc108,2,10,78,78,7.8,10,880
rl_epoch_lc108_epoch3.txt,lc108,3,8,75,74,9.375,8,830
rl_epoch_lc108_epoch4.txt,lc108,4,8,73,72,9.125,8,810
rl_epoch_lc108_epoch5.txt,lc108,5,8,70,69,8.75,8,780
rl_epoch_lc108_epoch6.txt,lc108,6,6,67,66,11.166666666666666,6,730
rl_epoch_lc108_epoch7.txt,lc108,7,5,66,65,13.2,5,710
rl_epoch_lc108_epoch8.txt,lc108,8,5,65,64,13.0,5,700
rl_epoch_lc108_epoch9.txt,lc108,9,4,62,61,15.5,4,660
rl_epoch_lc109_epoch1.txt,lc109,1,11,92,92,8.363636363636363,11,1030
rl_epoch_lc109_epoch10.txt,lc109,10,8,67,67,8.375,8,750
rl_epoch_lc109_epoch2.txt,lc109,2,9,91,91,10.11111111111111,9,1000
rl_epoch_lc109_epoch3.txt,lc109,3,9,87,87,9.666666666666666,9,960
rl_epoch_lc109_epoch4.txt,lc109,4,9,84,84,9.333333333333334,9,930
rl_epoch_lc109_epoch5.txt,lc109,5,9,83,83,9.222222222222221,9,920
rl_epoch_lc109_epoch6.txt,lc109,6,9,79,79,8.777777777777779,9,880
rl_epoch_lc109_epoch7.txt,lc109,7,9,78,78,8.666666666666666,9,870
rl_epoch_lc109_epoch8.txt,lc109,8,8,72,72,9.0,8,800
rl_epoch_lc109_epoch9.txt,lc109,9,8,70,70,8.75,8,780
rl_epoch_lc201_epoch1.txt,lc201,1,10,93,93,9.3,10,1030
rl_epoch_lc201_epoch10.txt,lc201,10,5,78,77,15.6,5,830
rl_epoch_lc201_epoch2.txt,lc201,2,8,91,91,11.375,8,990
rl_epoch_lc201_epoch3.txt,lc201,3,6,90,89,15.0,6,960
rl_epoch_lc201_epoch4.txt,lc201,4,6,87,86,14.5,6,930
rl_epoch_lc201_epoch5.txt,lc201,5,5,85,85,17.0,5,900
rl_epoch_lc201_epoch6.txt,lc201,6,5,83,83,16.6,5,880
rl_epoch_lc201_epoch7.txt,lc201,7,5,81,81,16.2,5,860
rl_epoch_lc201_epoch8.txt,lc201,8,5,81,80,16.2,5,860
rl_epoch_lc201_epoch9.txt,lc201,9,5,80,79,16.0,5,850
rl_epoch_lc202_epoch1.txt,lc202,1,12,100,100,8.333333333333334,12,1120
rl_epoch_lc202_epoch10.txt,lc202,10,5,75,74,15.0,5,800
rl_epoch_lc202_epoch2.txt,lc202,2,9,96,95,10.666666666666666,9,1050
rl_epoch_lc202_epoch3.txt,lc202,3,9,94,93,10.444444444444445,9,1030
rl_epoch_lc202_epoch4.txt,lc202,4,8,90,89,11.25,8,980
rl_epoch_lc202_epoch5.txt,lc202,5,7,87,86,12.428571428571429,7,940
rl_epoch_lc202_epoch6.txt,lc202,6,7,84,83,12.0,7,910
rl_epoch_lc202_epoch7.txt,lc202,7,7,81,80,11.571428571428571,7,880
rl_epoch_lc202_epoch8.txt,lc202,8,6,78,77,13.0,6,840
rl_epoch_lc202_epoch9.txt,lc202,9,5,77,76,15.4,5,820
